State,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1 mil population,Death/1 mil population,Total Tests,Tests/1 mil population,Population
Alabama,589110,11536,,,120148,2353.0,2906242,592725.0,4903185
Alaska,72988,382,67322.0,5284.0,99772,522.0,2509643,3430606.0,731545
Arizona,931387,18252,879184.0,33951.0,127960,2508.0,5287252,726399.0,7278717
Arkansas,389280,6199,364054.0,19027.0,128994,2054.0,4082199,1352705.0,3017804
California,3983692,64543,2105689.0,1813460.0,100822,1633.0,74176215,1877298.0,39512223
Colorado,577285,7213,509648.0,60424.0,100245,1253.0,3287765,570918.0,5758736
Connecticut,355580,8293,341015.0,6272.0,99734,2326.0,9944525,2789264.0,3565287
Delaware,111681,1833,108120.0,1728.0,114690,1882.0,754246,774568.0,973764
Florida,2636066,39079,2289018.0,307969.0,122735,1820.0,33225562,1546977.0,21477737
Georgia,1185571,21698,1089121.0,74752.0,111663,2044.0,12506402,1177913.0,10617423
Hawaii,43227,537,,,30530,379.0,1865038,1317236.0,1415872
Idaho,201352,2203,116853.0,82296.0,112672,1233.0,1459164,816514.0,1787065
Illinois,1425219,25930,1365687.0,33602.0,112472,2046.0,26960921,2127628.0,12671821
Indiana,774097,14012,736788.0,23297.0,114984,2081.0,11270135,1674059.0,6732219
Iowa,410166,6183,368095.0,35888.0,130002,1960.0,5318317,1685642.0,3155070
Kansas,334636,5266,312410.0,16960.0,114864,1808.0,1512666,519225.0,2913314
Kentucky,486115,7348,,,108807,1645.0,7234133,1619217.0,4467673
Louisiana,552787,11026,,,118910,2372.0,8355539,1797356.0,4648794
Maine,70463,900,,,52420,670.0,2838766,2111844.0,1344212
Maryland,469542,9829,11097.0,448616.0,77666,1626.0,11317158,1871941.0,6045680
Massachusetts,721885,18084,702453.0,1348.0,104735,2624.0,24722878,3586923.0,6892503
Michigan,1011106,21188,872163.0,117755.0,101244,2122.0,15254738,1527481.0,9986857
Minnesota,613325,7767,601499.0,4059.0,108753,1377.0,10670347,1892029.0,5639632
Mississippi,348496,7556,317559.0,23381.0,117096,2539.0,3072117,1032246.0,2976149
Missouri,682738,10317,577729.0,94692.0,111242,1681.0,8356808,1361614.0,6137428
Montana,116634,1708,113585.0,1341.0,109128,1598.0,1506498,1409552.0,1068778
Nebraska,228450,2280,,,118098,1179.0,2123023,1097505.0,1934408
Nevada,358932,5918,321902.0,31112.0,116530,1921.0,3744190,1215585.0,3080156
New Hampshire,100986,1387,98861.0,738.0,74270,1020.0,2528241,1859396.0,1359711
New Jersey,1041159,26606,991814.0,22739.0,117219,2995.0,14691330,1654021.0,8882190
New Mexico,211492,4414,197079.0,9999.0,100863,2105.0,3827466,1825359.0,2096829
New York,2218884,54259,2077953.0,86672.0,114061,2789.0,61423635,3157449.0,19453561
North Carolina,1056699,13670,1012724.0,30305.0,100752,1303.0,14477619,1380387.0,10488084
North Dakota,111699,1539,109712.0,448.0,146575,2020.0,453933,595664.0,762062
Ohio,1131029,20492,1092429.0,18108.0,96759,1753.0,14120067,1207969.0,11689100
Oklahoma,486232,7485,464464.0,14283.0,122880,1892.0,4201395,1061770.0,3956971
Oregon,221799,2863,203476.0,15460.0,52587,679.0,5740690,1361083.0,4217737
Pennsylvania,1232272,27957,1190693.0,13622.0,96256,2184.0,15099009,1179427.0,12801989
Rhode Island,154790,2740,9475.0,142575.0,146116,2586.0,4622968,4363921.0,1059361
South Carolina,623947,9915,583708.0,30324.0,121185,1926.0,8550617,1660729.0,5148714
South Dakota,125216,2043,122739.0,434.0,141542,2309.0,497026,561828.0,884659
Tennessee,900418,12758,864529.0,23131.0,131849,1868.0,8459184,1238683.0,6829174
Texas,3151039,53524,2958075.0,139440.0,108672,1846.0,33997209,1172484.0,28995881
Utah,434711,2466,417384.0,14861.0,135595,769.0,5336176,1664456.0,3205958
Vermont,25038,260,24234.0,544.0,40126,417.0,1780906,2854066.0,623989
Virginia,699342,11536,58179.0,629627.0,81933,1352.0,10707391,1254451.0,8535519
Washington,477723,6172,231097.0,240454.0,62735,811.0,8844896,1161526.0,7614893
West Virginia,167681,2949,162252.0,2480.0,93564,1646.0,3133703,1748575.0,1792147
Wisconsin,689284,8295,,,118384,1425.0,3660315,628657.0,5822434
Wyoming,65467,776,63712.0,979.0,113116,1341.0,822614,1421341.0,578759
